code, description
8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated."
6114,"Other garments, knitted or crocheted."
2105,"Ice cream and other edible ice, whether or not containing cocoa."
7604,"Aluminium bars, rods and profiles."
8449,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, including machinery for making felt hats; blocks for making hats."
7319,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included."
8540,"Thermionic, cold cathode or photo-cathode valves and tubes (for example, vacuum or vapour or gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode-ray tubes, television camera tubes)."
8541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-electric crystals."
4106,"Tanned or crust hides and skins of other animals, without wool or hair on, whether or not split, but not further prepared."
7507,"Nickel tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)."
8442,"Machinery, apparatus and equipment (other than the machine-tools of headings 84.56 to 84.65) for preparing or making plates, cylinders or other printing components; plates, cylinders and other printing components; plates, cylinders and lithographic stones"
8521,"Video recording or reproducing apparatus, whether or not incorporating a video tuner."
9016,"Balances of a sensitivity of 5 cg or better, with or without weights."
7806,"Other articles of lead."
6306,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods."
5807,"Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered."
8450,"Household or laundry-type washing machines, including machines which both wash and dry."
4404,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwo"
0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta"
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
4823,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres."
0802,"Other nuts, fresh or dried, whether or not shelled or peeled."
8531,"Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 85.12 or 85.30."
6201,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03."
8702,"Motor vehicles for the transport of ten or more persons, including the driver."
8527,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock."
2709,"Petroleum oils and oils obtained from bituminous minerals, crude."
3901,"Polymers of ethylene, in primary forms."
8534,"Printed circuits."
7905,"Zinc plates, sheets, strip and foil."
0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12."
5904,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape."
8460,"Machine-tools for deburring, sharpening, grinding, honing, lapping, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, other than gear cutting, gear grinding or gear finishing machines of headin"
4812,"Filter blocks, slabs and plates, of paper pulp."
8201,"Hand tools, the following : spades, shovels, mattocks, picks, hoes, forks and rakes; axes, bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in "
3819,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals."
7401,"Copper mattes; cement copper (precipitated copper)"
2844,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products."
2601,"Iron ores and concentrates, including roasted iron pyrites."
2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives."
8802,"Other aircraft (for example, helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles."
3601,"Propellent powders."
2841,"Salts of oxometallic or peroxometallic acids."
2707,"Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents."
6912,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china."
6111,"Babies' garments and clothing accessories, knitted or crocheted."
4016,"Other articles of vulcanised rubber other than hard rubber."
9020,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters."
4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets."
9113,"Watch straps, watch bands and watch bracelets, and parts thereof."
4103,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split, other than those excluded by Note 1 (b) or 1 (c) to this Chapter."
8483,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including"
4406,"Railway or tramway sleepers (cross-ties) of wood."
5302,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)."
3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics."
4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material."
7315,"Chain and parts thereof, of iron or steel."
9201,"Pianos, including automatic pianos; harpsichords and other keyboard stringed instruments."
3920,"Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials."
6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed."
2811,"Other inorganic acids and other inorganic oxygen compounds of non-metals."
3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics."
3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed."
3825,"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in Note 6 to this Chapter."
9007,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus."
4805,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter."
7228,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel."
4821,"Paper or paperboard labels of all kinds, whether or not printed."
9014,"Direction finding compasses; other navigational instruments and appliances."
4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared."
9107,"Time switches with clock or watch movement or with synchronous motor."
8213,"Scissors, tailors' shears and similar shears, and blades therefor."
6807,"Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch)."
2303,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets."
0207,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen."
3201,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives."
8461,"Machine-tools for planing, shaping, slotting, broaching, gear cutting, gear grinding or gear finishing, sawing, cutting-off and other machine-tools working by removing metal or cermets, not elsewhere specified or included."
6302,"Bed linen, table linen, toilet linen and kitchen linen."
5006,"Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm gut."
5902,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon."
3820,"Anti-freezing preparations and prepared de-icing fluids."
7018,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, ot"
3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use."
6208,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles."
7321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel."
8548,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus, not specified or included elsewhere in this Chapter."
0106,"Other live animals."
8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters."
9301,"Military weapons, other than revolvers, pistols and the arms of heading 93.07"
1522,"Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes."
7613,"Aluminium containers for compressed or liquefied gas."
9612,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges; ink-pads, whether or not inked, with or without boxes."
8441,"Other machinery for making up paper pulp, paper or paperboard, including cutting machines of all kinds."
8608,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts of the fo"
7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated."
8214,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files)."
7323,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel."
6806,"Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those o"
0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption."
6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt."
1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)."
3814,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers."
8547,"Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of metal (for example, threaded sockets) incorporated during moulding solely for purposes of assembly, other"
6205,"Men's or boys' shirts."
1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of"
1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified."
2922,"Oxygen-function amino-compounds."
6811,"Articles of asbestos-cement, of cellulose fibre-cement or the like."
8405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers."
2307,"Wine lees; argol"
0908,"Nutmeg, mace and cardamoms."
7204,"Ferrous waste and scrap; remelting scrap ingots of iron or steel."
4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber."
9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics)."
7320,"Springs and leaves for springs, of iron or steel."
6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles."
1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared."
4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances."
7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass."
6703,"Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like."
3406,"Candles, tapers and the like."
7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94 %, in lumps, pellets or similar forms."
8512,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles."
7223,"Wire of stainless steel."
0408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter."
2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk."
3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics."
9401,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof."
9102,"Wrist-watches, pocket-watches and other watches, including stop-watches, other than those of heading 91.01."
6305,"Sacks and bags, of a kind used for the packing of goods."
8906,"Other vessels, including warships and lifeboats other than rowing boats."
2309,"Preparations of a kind used in animal feeding."
1904,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o"
5801,"Woven pile fabrics and chenille fabrics, other than fabrics of heading 58.02 or 58.06."
8476,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines."
2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives."
7412,"Copper tube or pipe fittings (for example, couplings, elbows, sleeves)."
1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken."
3402,"Organic surface-active agents (other than soap); surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of heading 34.01."
2208,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages."
7601,"Unwrought aluminium."
5112,"Woven fabrics of combed wool or of combed fine animal hair."
6103,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted."
7506,"Nickel plates, sheets, strip and foil."
8429,"Self-propelled bulldozers, angledozers, graders, levellers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers."
0910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices."
6405,"Other footwear."
2710,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic con"
9001,"Optical fibres and optical fibre bundles; optical fibre cables other than those of heading 85.44; sheets and plates of polarising material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other th"
9101,"Wrist-watches, pocket-watches and other watches, including stop-watches, with case of precious metal or of metal clad with precious metal."
6102,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind- jackets and similar articles, knitted or crocheted, other than those of heading 61.04."
4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades."
2704,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon."
7117,"Imitation jewellery."
3307,"Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorisers, whether or not perfumed or having di"
2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included."
9021,"Orthopaedic appliances, including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect "
8446,"Weaving machines (looms)."
7002,"Glass in balls (other than microspheres of heading 70.18), rods or tubes, unworked."
8433,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37."
5113,"Woven fabrics of coarse animal hair or of horsehair."
4203,"Articles of apparel and clothing accessories, of leather or of composition leather."
4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or rectangular (includin"
2106,"Food preparations not elsewhere specified or included."
5513,"Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170 g/m²."
4303,"Articles of apparel, clothing accessories and other articles of furskin."
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried."
